date,city,scenario,temperature_f,precip_mm
1897-08,San Diego,ssp126,61.0,1.0122
1897-09,San Diego,ssp126,61.17,0.6237
1897-10,San Diego,ssp126,61.77,0.4857
1897-11,San Diego,ssp126,62.14,0.4679
1897-12,San Diego,ssp126,62.25,0.4826
1898-01,San Diego,ssp126,62.33,0.4802
1898-02,San Diego,ssp126,62.58,0.4845
1898-03,San Diego,ssp126,62.6,0.4867
1898-04,San Diego,ssp126,62.61,0.5994
1898-05,San Diego,ssp126,62.38,0.5131
1898-06,San Diego,ssp126,62.73,0.4933
1898-07,San Diego,ssp126,62.94,0.338
1898-08,San Diego,ssp126,63.22,0.3617
1898-09,San Diego,ssp126,63.0,0.4858
